Mozambique - NORTH_Niassa,Mozambique - SOUTH_Maputo,Mozambique - NORTH_Cabo Delgado,Mozambique - NORTH_Nampula,Mozambique - CENTER_Zambezi,Mozambique - CENTER_Tete,Mozambique - CENTER_Manica,Mozambique - CENTER_Sofala,Mozambique - SOUTH_Inhambane,Mozambique - SOUTH_Gaza,Angola,Botswana,Eritrea,Swaziland,Ethiopia - Addis Abeba,Ethiopia - Affar,Ethiopia - Amhara,Ethiopia - Benis Gumz,Ethiopia - Dire Dawa,Ethiopia - Gambela,Ethiopia - Harari,Ethiopia - Oromiya,Ethiopia - Sidama,Ethiopia - Somali,Ethiopia - Tigray,Kenya - Central,Kenya - Coast,Kenya - Eastern,Kenya - Nairobi,Kenya - North Eastern,Kenya - Nyanza,Kenya - Rift Valley,Kenya - Western,Lesotho,Malawi,Namibia,Rwanda,South Sudan,United Republic of Tanzania,Uganda,Zambia,Zimbabwe - Bulawayo,Zimbabwe - Harare Chitungwiza,Zimbabwe - Manicaland,Zimbabwe - Mashonaland Central,Zimbabwe - Mashonaland East,Zimbabwe - Mashonaland West,Zimbabwe - Masvingo,Zimbabwe - Matabeleland North,Zimbabwe - Matabeleland South,Zimbabwe - Midlands,Benin,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea-Bissau,Guinea,Liberia,Mali,Mauritania,Niger,Nigeria - Abia,Nigeria - Adamawa,Nigeria - Akwa-Ibom,Nigeria - Anambra,Nigeria - Bauchi,Nigeria - Bayelsa,Nigeria - Benue,Nigeria - Borno,Nigeria - CrossRiver,Nigeria - Delta,Nigeria - Ebonyi,Nigeria - Edo,Nigeria - Ekiti,Nigeria - Enugu,Nigeria - FCT,Nigeria - Gombe,Nigeria - Imo,Nigeria - Jigawa,Nigeria - Kaduna,Nigeria - Kano,Nigeria - Katsina,Nigeria - Kebbi,Nigeria - Kogi,Nigeria - Kwara,Nigeria - Lagos,Nigeria - Nasarawa,Nigeria - Niger,Nigeria - Ogun,Nigeria - Ondo,Nigeria - Osun,Nigeria - Oyo,Nigeria - Plateau,Nigeria - Rivers,Nigeria - Sokoto,Nigeria - Taraba,Nigeria - Yobe,Nigeria - Zamfara,Senegal,Sierra Leone,São Tomé and Príncipe,Togo
-5.187989362160545,-4.528034802096988,-5.4930392956129195,-5.331610538780201,-5.8564888100300685,-5.012072379661802,-5.008552971822074,-4.773698249194337,-5.165049728154508,-5.09168137030848,-5.238666961215792,-4.091273655539107,-4.555168971089314,-3.6377547394617924,-3.8691687728264736,-4.907241389367302,-5.361540836610252,-5.239829614282647,-4.444399230638634,-5.308332579375319,-4.458018389893282,-5.274960274517749,-5.367453650336303,-5.23975556144367,-5.211814841374504,-4.095307931214427,-4.165506742522032,-4.4342194824803665,-3.823102744876735,-4.945672183249931,-4.360012988373216,-4.378226187597653,-4.3923745919696815,-3.5342620550786563,-3.4717571609494833,-2.401480980819709,-4.157643180093976,-5.0216740880941035,-4.127155667252118,-3.3452906862221643,-3.9035601499240014,-6.039704666641005,-4.67539229866888,-5.964746308044232,-5.370554342079028,-5.175172148838576,-5.065212139044169,-4.431681026845857,-4.904572058972141,-5.616012505427191,-5.543381588196302,-3.994718760166795,-4.599202748715487,-5.135267449035841,-3.852839395899589,-3.383905493855594,-6.094271121717263,-4.455572772741101,-4.276030008087027,-5.028844409865368,-3.819529802309944,-4.739274035538087,-4.240507381163129,-4.478816085310447,-5.192402643795328,-5.368835599040707,-5.712539833292245,-4.234879041003243,-7.2855354177305385,-6.246349368662328,-4.666902675424231,-5.537551495872724,-4.626803542868332,-4.3106033088181315,-5.641519102848837,-5.4394860151803215,-4.747170532806842,-5.658016650210261,-4.59394331743437,-4.83762705953089,-4.920754552388891,-4.945559603741046,-4.340577028063765,-4.469501564358358,-4.444585831778551,-5.198780697216457,-4.116257981397058,-5.913355543578861,-5.608897749226007,-5.545498976461635,-5.7884620858714415,-6.014151534876791,-5.135970929276392,-5.160508313312557,-4.604438119850373,-5.08037093009763,-5.495757234498475,-5.237758766184293,-4.994396009634938,-4.986177659719223,-5.1379194733131435,-4.607238171785974,-4.669849168258881,-5.934117173363085,-5.459061289154995,-5.748980822709692,-5.769985537467451,-4.799570857841403,-5.522909125577511,-4.540078634080475,-4.8567543070932295
-4.977167808679649,-3.968185298290612,-5.374607688988576,-5.187005619429656,-5.8773493710291635,-4.749150247819267,-4.68230353781958,-4.322431449623559,-4.887669773090885,-4.755579868849724,-4.866436349113011,-3.3939070475286695,-4.074071807910954,-3.2948013814782997,-3.6950863117520423,-4.826322609693054,-5.244379878674788,-5.0813402779625845,-4.112838591862627,-5.204411109931424,-4.060548802737557,-5.172084156280598,-5.2774052637583795,-5.1573199932383895,-5.018170753660328,-3.4514060806316653,-3.5499884811726794,-3.9546263308017533,-3.00637227823187,-4.6910187792092835,-3.820125066099287,-3.8758150502758713,-3.8971019498360224,-3.8391862480879664,-4.245117161930753,-2.4327607130189866,-4.020923962484056,-4.833183545899792,-3.6032618669919034,-3.740898281951362,-3.4524373031222737,-6.152206668363734,-5.050430818866861,-6.2900789016929295,-5.947599137575871,-5.986132765964412,-5.894975356840634,-3.955079007169438,-5.732498644357517,-6.162690357812243,-6.129789938134762,-3.8549424593768427,-4.249573353544091,-4.916353238166746,-3.456059159531227,-3.598748838992096,-5.956543508301275,-4.2410031111892,-4.158987312252269,-4.84212810071546,-3.3963949582301876,-4.369215502957515,-4.433512848477124,-4.378880090992238,-5.282800428949171,-5.312256669447165,-5.7519178501313775,-4.2916113841524615,-3.5963879690409772,-6.088999604002201,-4.323296034601138,-5.592575744254499,-4.319164269501501,-3.787639361583051,-5.740279293382205,-5.421574267326189,-4.508171479763687,-5.763514185780507,-4.20744814507196,-4.642771822865035,-4.715997674671094,-4.7151624807636505,-4.139059237459586,-4.1121470877754405,-3.9874802134845,-5.061079445050392,-3.6199679314588544,-6.088652918400253,-5.603173969394459,-5.572903036054114,-5.946209408628499,-6.264707117762407,-5.0147570499848895,-5.141729573043866,-4.262876917585909,-4.941309976315098,-5.485126109841459,-5.152759556005288,-4.821405126902977,-4.88599728473148,-5.00031421247638,-4.316247188150864,-4.339749420112929,-6.145839915400833,-5.4600154286415945,-5.900304036351716,-5.921284225035895,-5.16004582557503,-5.4137366604203345,-3.965289719867398,-4.782293282835111
-4.7158637841200655,-3.4188270339021707,-5.151005350597676,-4.967732392376923,-5.754340448745028,-4.44784911494395,-4.306257444011047,-3.8295559876660543,-4.538833980039924,-4.343627052196451,-4.27037549135303,-2.7587147567979113,-3.6071061609157424,-3.055031055831626,-3.501919626115835,-4.709581636981446,-5.070345576444703,-4.875406925219715,-3.7823023571246797,-5.041228626095993,-3.669502844160465,-5.012913326671753,-5.123570190129467,-5.0502087947329155,-4.7830420593883,-2.9104232061713136,-3.0188045897004097,-3.5255300018013,-2.310362137242114,-4.430642295769898,-3.335030052738568,-3.4296283530853082,-3.4565440562867114,-3.9545178947586117,-4.213132410900593,-2.4632064603921817,-3.8436451944454664,-4.648004439016162,-3.262352693250617,-3.9002196955308364,-3.1899432808633748,-6.156963950074531,-5.396192915342664,-6.486382146622692,-6.404038004191256,-6.616205525161319,-6.5347194885407145,-3.532690271193426,-6.413291865057887,-6.573206780064904,-6.583417139684602,-3.9082478338131876,-3.961178460258562,-4.680390220870621,-3.2069838576215126,-3.6968755784369276,-5.800329882921742,-4.106778217291326,-4.058480672755196,-4.652489957045507,-2.9751441637505294,-4.00259949589577,-4.489454274249998,-4.378043525545031,-5.2967126900810815,-5.216671251744342,-5.718135880749993,-4.650129202491255,-8.681944651930339,-5.921519739780014,-4.013803410241042,-5.6106807861168715,-4.0697084009000575,-3.3605634566294453,-5.8042303843250975,-5.363179474633592,-4.317206325294836,-5.827115264547593,-3.8644224834982066,-4.491188509035902,-4.532733165206459,-4.489444322690756,-4.077335360608156,-3.838568768461426,-3.5896150836441505,-4.893115486852004,-3.258374860351064,-6.195567502737402,-5.5122253702207695,-5.558744353165596,-6.055233398803236,-6.452537109628936,-4.877808510637208,-5.145717235784393,-3.973947221138829,-4.792734306002846,-5.428067075058058,-5.046994344001024,-4.662976788214547,-4.794230657151918,-4.852548514896595,-4.094656351695701,-4.063723918765674,-6.2956902902420095,-5.418482764401921,-5.998417671560404,-6.025890470114734,-5.357140188640215,-5.257218003026547,-3.4121299686704165,-4.6566613154759455
-4.393085274127165,-2.9182945890538257,-4.78843466483523,-4.649925185951475,-5.453113962718833,-4.089817338554893,-3.8661589984255764,-3.2765120376880255,-4.097194897476795,-3.8292377014535233,-3.6847736590482016,-2.220317873453975,-3.1619497708406485,-2.907020910450519,-3.290869846406374,-4.549141152533824,-4.830649820249724,-4.610967606773024,-3.4511434363489295,-4.8068801503228356,-3.291385862008003,-4.788407546137984,-4.89729487369767,-4.9138946053275685,-4.4958808926655625,-2.5425455615417754,-2.6247195036155264,-3.170502645719542,-1.8448339848299302,-4.163944358555933,-2.9392698198422176,-3.064118321321453,-3.092721177286671,-3.855951883949648,-3.3912052009811315,-2.484503513743862,-3.5985858088462104,-4.467515571284196,-3.196925819675472,-3.8383769606068303,-3.1300814358797857,-6.114924799798405,-5.71677671739757,-6.621186200434833,-6.74139846610976,-7.092236904346376,-7.018051247807097,-3.18438004742015,-6.956497561574557,-6.849142615169753,-6.916950133744155,-3.8495733763551754,-3.7596739637606027,-4.4638850451378875,-3.0410367391827693,-3.69889472766136,-5.615756815763061,-4.0218127139165,-3.9623078698502576,-4.458675577329684,-2.560082983215321,-3.6414893051641193,-4.42691016416502,-4.441609988031439,-5.239143861707473,-5.0773108774155356,-5.6121139228512975,-4.781287278824693,-7.035263372819582,-5.734021003546007,-3.747472161215873,-5.590442507209979,-3.887911955977036,-3.0931120430369177,-5.8384238840475575,-5.261168038323936,-4.17868539234402,-5.851417830539546,-3.5828306271792063,-4.387406400890341,-4.375669542950173,-4.270495498533967,-4.1451142620162456,-3.667421885274734,-3.2766666605795227,-4.687713814164174,-3.068469698866899,-6.241320972086141,-5.320998591928148,-5.504680955633731,-6.121744715960149,-6.588199111199379,-4.716389694083242,-5.171368910362547,-3.7518195838549713,-4.628607516346849,-5.32364072955465,-4.915410255676622,-4.522624609491783,-4.694439398151784,-4.693734355507493,-3.9537699225237506,-3.864885151285047,-6.390967458924506,-5.328884685314115,-6.044339962720068,-6.089334070906626,-5.3986948236569745,-5.047222816917833,-2.8940869274658674,-4.477240147790233
-3.991451126872501,-2.553287482199651,-4.214457431198906,-4.188728412636177,-4.88900724518318,-3.6433358941286027,-3.340829653829028,-2.633353521974311,-3.525345038339773,-3.1647053974607746,-3.1191289900031656,-1.80580318454396,-2.757973484335833,-2.8063004416599955,-3.0646468827499027,-4.333239920012318,-4.510221788182769,-4.275326178975713,-3.115998452117725,-4.480937162196402,-2.9377336411878843,-4.483060436715585,-4.582285614008285,-4.742079642219824,-4.139920196852199,-2.4190552031054624,-2.4233510381645913,-2.9165457804008814,-1.7251054938106305,-3.8905784103741587,-2.6741534727348797,-2.8037976590086098,-2.8251565190348646,-3.4668232126408784,-3.115352066264655,-2.480847036336837,-3.23714093466537,-4.293927083998889,-3.443680024596976,-3.5148755006649455,-3.0104380047839756,-6.125954823678254,-6.054057950105925,-6.76596886537422,-6.982316203131095,-7.458261538166784,-7.379695814842109,-2.9218634176812412,-7.3880501153823275,-7.001120643541938,-7.1573803141438015,-3.6841026271456347,-3.671332797147133,-4.159455646728853,-2.834121801739363,-3.621942081126077,-5.389069687181131,-3.957047225417377,-3.8533062582828514,-4.258865615055754,-2.160350551650015,-3.2891308238065045,-4.252578715149064,-4.532204114208699,-5.110973418867578,-4.88747916137531,-5.430558168633827,-4.733192321195463,-5.854134557149599,-5.5130573467474395,-3.5325951762374594,-5.528667199875562,-3.776791421533131,-3.052371906836752,-5.847268292539752,-5.110109802590761,-4.093166403321725,-5.837569676508682,-3.382864698876595,-4.3335765464734655,-4.249507340267161,-4.061722003697112,-4.317382123010153,-3.6089452386524403,-3.0753124062712454,-4.434354457564665,-3.0601811137522232,-6.229402477294618,-4.998754872056129,-5.41117360630107,-6.1500334823142975,-6.678499620361424,-4.518361396281881,-5.2169516102256335,-3.609858196429063,-4.439026455781606,-5.169136226711209,-4.752190065293187,-4.404261445545817,-4.5662458447137695,-4.522814052101318,-3.8980095360293623,-3.7669053992106107,-6.4354301718020706,-5.182890594785877,-6.036635869723249,-6.1151762052498695,-5.269571244214741,-4.7744206376279354,-2.4308214248388818,-4.239595859944851
-3.587885797913808,-2.2044716283964902,-3.677034712367351,-3.7382410177311556,-4.336046565721466,-3.2019996182553427,-2.831993457806266,-2.0902427381962103,-2.973647724570848,-2.552476347827118,-2.598968632070815,-1.5061583906106224,-2.4201497058422246,-2.6782097931169226,-2.8283832222298346,-4.043236964424498,-4.0823095416937045,-3.8485112325671174,-2.770966364296519,-4.02593864352017,-2.6279580784656114,-4.0693324298107685,-4.14878455408422,-4.52561545822104,-3.6864464134161885,-2.2287217925755045,-2.1852489456808524,-2.6262999375531098,-1.6177991982798854,-3.608538645090362,-2.38089877154796,-2.516677317077705,-2.550279590420767,-2.5604055058927986,-2.625749580623557,-2.4298056322287445,-2.6618660524346667,-4.131079959946504,-2.839789525245439,-2.7864203881021,-2.8090343896480086,-6.4065976812761685,-6.474352321893458,-7.033255282516359,-7.151251582951488,-7.744574785379781,-7.656537248502614,-2.740902192421274,-7.7328655250629215,-7.04437462913471,-7.328903524272427,-3.4082179819586425,-3.4839355967606163,-3.83234128813706,-2.391293171337582,-3.462799537803816,-5.099399866115943,-3.8724329299845137,-3.708741793607413,-4.050390037335764,-1.796160481107455,-2.9503769140583156,-3.9643722492419524,-4.455482727960567,-4.9091059602611224,-4.636091419353355,-5.165008191355348,-4.5302642987466495,-7.060592745999787,-5.23943306954386,-3.355858628906634,-5.389048325197246,-3.6712503547908137,-3.0195615506447213,-5.792014556983127,-4.919169849950526,-3.9738962481358207,-5.766192983668256,-3.179114171674454,-4.268317626380558,-4.104141192054699,-3.875539424301831,-4.39591165055031,-3.5253375931059328,-2.948589919830842,-4.172379603568417,-3.056684290539054,-6.164263574151349,-4.6679588934213925,-5.2722958106668605,-6.113327935299534,-6.715167912826074,-4.307986111039382,-5.19328040483162,-3.4615709036578752,-4.243293583480277,-5.013603447878496,-4.546721430040142,-4.274970884724174,-4.424191639828822,-4.3495527755730325,-3.816257620340254,-3.631135172706979,-6.437733592652219,-5.000896293365916,-5.964288823772384,-6.095179987426417,-4.921231113300855,-4.423859835342515,-2.0482846985151277,-3.9367751270965208
-3.184044619865586,-1.892018110893198,-3.2091903844877057,-3.3161448572408085,-3.808298779850506,-2.7698940040123654,-2.3571182261319352,-1.7195790576845698,-2.4643585411767623,-2.0425837683132193,-2.1655702969052624,-1.3511223421923682,-2.183242789433521,-2.414853161469861,-2.591480826155291,-3.647072981486823,-3.4954572635768315,-3.2842043756749266,-2.4058267485328426,-3.364379314594568,-2.392113439369025,-3.4939129746384756,-3.5365792315007845,-4.250497943338114,-3.0804816075903396,-1.971436988779272,-1.8955384069257115,-2.2956197618894434,-1.5044779949522655,-3.313195372606709,-2.0251661375135543,-2.180304636646022,-2.249244622055939,-2.2407512659255,-2.3176931983898075,-2.3020766615095183,-1.622953349425625,-3.984801055585439,-2.2884343046557696,-2.1742163041099962,-2.4885412443531294,-7.009246115362857,-6.998156548513794,-7.500201712338805,-7.280271410416834,-7.975373860636187,-7.871925559043285,-2.61055194803392,-8.010518694987294,-6.9917141204091555,-7.48835887608129,-3.014020542710342,-3.1858537868014216,-3.4715546102280697,-2.228437638504309,-3.2287422815476754,-4.831385233240646,-3.6961753367657315,-3.4965362297891964,-3.8293636218806952,-1.5060976506994737,-2.6326903093786393,-3.5510342068823495,-4.180951364100687,-4.626177441532397,-4.306721305776551,-4.799163391018633,-4.13722509759173,-4.54594871486328,-4.880995256037004,-3.214010341540466,-5.155175826209305,-3.5507433883230908,-2.9886066778418954,-5.670875826090886,-4.679513684784882,-3.807739426848863,-5.632479282554295,-2.9666287961035316,-4.186853145563274,-3.932901722652795,-3.7182535431554844,-4.394908805504254,-3.4134861088142845,-2.893212251853542,-3.9004976492237935,-3.0336603028222164,-6.043949340872548,-4.322765724985641,-5.079988182315389,-6.009837749571284,-6.699752497132329,-4.0805036349451775,-5.093641396227637,-3.3057951313373444,-4.031261632886195,-4.861110829543675,-4.2921152386338886,-4.1328177882103585,-4.2651716798699555,-4.172568497085169,-3.696200227356416,-3.443258813588416,-6.397394671449714,-4.7719342163520455,-5.820229779707661,-6.0290524444061,-4.226423642210463,-3.970817952131814,-1.7760191867961057,-3.5576414217793833
-2.7836604152758526,-1.6531825774372046,-2.8632289406151465,-2.9562075151833187,-3.334145659656853,-2.353218257933417,-1.9478136039149165,-1.5999556840054554,-2.0408823564138174,-1.7173419906792515,-1.8647376308490387,-1.3288898550876114,-2.0873310439561146,-1.778968929402897,-2.355238243928027,-3.2724600837962527,-2.948186880284221,-2.77439369863211,-2.0725311905399217,-2.7316126034768,-2.1715263364239656,-2.9776080716434996,-2.9793171131845755,-4.0018869020041565,-2.5115225476087737,-1.645940786581675,-1.5411943075412275,-1.9215011763591319,-1.3615000574569414,-2.997064350274125,-1.5463039787352073,-1.760140551558411,-1.8919943480135084,-1.5519492329517681,-2.2820527858306465,-2.0720872156555226,-1.1470640686939415,-3.8626625870488764,-1.8371556089224927,-1.6414112461864487,-1.9643941733816128,-7.324571750429468,-7.2808721173933435,-7.686043706813961,-7.2983344038392985,-8.07554704877744,-7.958529620744036,-2.525237855938657,-8.166011993964696,-6.777967464432197,-7.478434290575855,-2.5070234360641925,-2.753983517009677,-3.471033691683015,-2.320581781694914,-2.921711125893543,-4.5978296133150804,-3.4627201577222255,-3.2735167468540656,-3.5903242103590993,-1.3537417767339261,-2.3450798498408756,-2.9916626680403136,-3.6268550313116723,-4.250157366598527,-4.055490500149562,-4.287676339059317,-3.504838588576393,-3.6524747691098924,-4.3801793623081045,-3.0978848508803285,-4.790082522562044,-3.3869816081525057,-2.951831237223724,-5.478725956149367,-4.377215345278618,-3.574788719103971,-5.427614155674271,-2.7370363051800055,-4.0828780327316405,-3.724658075330925,-3.5933708164631217,-4.323831424359168,-3.2674439218535296,-2.8838513836813067,-3.6179350617776693,-2.960482236538092,-5.863628441238852,-3.954902580822178,-4.82069541441467,-5.8334939039780345,-6.631190877097586,-3.827394128863499,-4.906616407187923,-3.1442452679946613,-3.7895217049974317,-4.7180903861243,-3.9765460514632425,-3.9753020526021743,-4.077687308949182,-3.989172527368984,-3.5211850446189286,-3.1804640061879166,-6.312430774213795,-4.477308283048844,-5.590893539442325,-5.914527148599262,-3.5578247889876042,-3.5383942516277775,-1.6420150404719005,-3.08219988932029
-2.394173142460965,-1.5395565472216435,-2.7074021465159954,-2.7145545380428673,-2.9649379443670028,-1.9607833524064684,-1.6568930212899153,-1.7699283269829813,-1.7732057644930808,-1.6776387247455065,-1.7388843327670649,-1.3989586111030003,-2.159868899724015,-1.4896227546057785,-2.130966766208876,-2.933554476781118,-2.4695628717925375,-2.3474017928551487,-1.7909688761223734,-2.1552574531414925,-1.9874226054903545,-2.5642273759891903,-2.5149852952190144,-3.7914120497435517,-2.0104113775856223,-1.2571549659330543,-1.1060413443416113,-1.5050487396554406,-1.1528481952109348,-2.646575050660685,-0.8047984081184857,-1.1908583930977827,-1.426557727320763,-1.3490117788346134,-1.4503151699069665,-1.8904512904378485,-1.2505295845907098,-3.7728048854892315,-1.5621710278086287,-1.410531699620959,-1.0178116281828369,-7.49043613561618,-7.42764343053005,-7.707462101690328,-7.263640530604948,-8.085263191335454,-7.955526272108103,-2.3905728870148484,-8.219151162511176,-6.462287832263981,-7.3807480624349,-2.212351520969333,-2.541251200876512,-3.0200856853503244,-2.313128952473915,-2.6117778160423493,-4.416271620369538,-3.1557716540726726,-3.034227003420823,-3.3250135902966726,-1.425821927452923,-2.0992699913311217,-2.684014985007097,-3.108234540703852,-3.8561471634713413,-3.8926505070927573,-3.526338516003768,-3.1589285879425626,-2.7182234972298986,-3.946528071157835,-2.9950051519517946,-4.216023817607854,-3.139431054999467,-2.9012325702783843,-5.205049934460548,-3.9882694789168096,-3.240833099926751,-5.135454639006344,-2.477827863933057,-3.948741722032171,-3.4623099674508184,-3.501446075422362,-4.18879088571015,-3.078235498454008,-2.8891778671375934,-3.3247697412179473,-2.8011793115443586,-5.614313988970768,-3.551037591685119,-4.471639421925427,-5.571546118679441,-6.505604595311408,-3.5357622977640037,-4.608779266232187,-2.9848508071121813,-3.489629728218441,-4.593805986689845,-3.5823967016523146,-3.799358444323989,-3.844234347694367,-3.7953674172347776,-3.266859050667698,-2.8030486363086067,-6.178796798810858,-4.084603082176714,-5.250900099056319,-5.746531531892182,-2.9559164823259736,-3.1322365771328777,-1.6621135710233021,-2.666534760177994
-2.0285774666575795,-1.6055155708497633,-2.7976900630219887,-2.6635327813021354,-2.7756983139030136,-1.6052324154067867,-1.556948195038025,-2.1967037741986895,-1.7435019738758781,-1.98170986480864,-1.7985006099454448,-1.5171229195617089,-2.408271512790036,-1.532266820476317,-1.9378190526106753,-2.6519823923526387,-2.1020042429852546,-2.0402332326006234,-1.590660409261056,-1.6835801202869016,-1.8731439502436396,-2.3127650984506967,-2.193596313285857,-3.6336125292566157,-1.6264265032808014,-1.1533731366450053,-1.0836757662472063,-1.252872333834909,-1.0402560437542074,-2.5470667664603273,-0.7802121452182699,-1.0681759251460616,-1.3510316488506822,-1.4446066080111601,-1.1986237087017773,-1.751641771989455,-1.5677763812930028,-3.7228571845893734,-1.6314459935619745,-1.4316701570840509,-0.8308025453094977,-7.554976682292687,-7.516160550660948,-7.714716637753338,-7.257982519885637,-8.05045635982397,-7.915706152091731,-2.0734902222269005,-8.190777012917358,-6.250784282062841,-7.2906368904243015,-2.447714086467342,-2.625765053658912,-2.747316018428478,-2.2372170486390304,-2.297688147424911,-4.3074186040221125,-2.7820852037411825,-2.769359027809886,-3.545789294302501,-1.791244596422084,-1.9110369816319916,-2.766632383409308,-2.652337987504204,-3.4556779018818338,-3.812611797918364,-2.8350422226897085,-3.2058660068342095,-2.739535402285809,-3.6253105156583527,-3.1582283081602083,-3.5746924762386714,-3.027124241381637,-3.0575366419006205,-4.890773359279801,-3.641452768950959,-2.88784817021989,-4.760005418782134,-2.518864781943809,-3.8253435637022366,-3.2661754090405446,-3.464337852696667,-3.9160863989355517,-2.75724847178612,-2.7728824940727943,-3.1909600304040495,-2.7965956184017986,-5.332727910611924,-3.306958187741489,-4.326236641719948,-5.239450700636571,-6.331266208655105,-3.1821983308393453,-4.125332694775483,-3.1510618201864493,-3.194592352738005,-4.522027782914607,-3.3954548505011486,-3.526397924844862,-3.5148893983970013,-3.6286569931167243,-2.9740944912753418,-2.615568096870682,-5.9999092892091745,-3.7077465251238046,-4.847431523931788,-5.562986157493815,-2.5063316741204873,-2.7589008518228066,-1.8347585106821103,-2.346852694018252
